osm_id,name,latitude,longitude,poi_kind,raw_main_tag
node/13608167410,Fresh Corner Restaurant,49.3581851,16.0195308,convenience,shop=convenience
node/401391449,COOP Jednota,49.3588761,16.6495821,convenience,shop=convenience
node/13576311294,Stop Cafe,49.3593517,16.6423792,convenience,shop=convenience
node/6544894386,COOP Jednota,49.3611897,14.3118884,convenience,shop=convenience
node/435180784,Jednota COOP,49.3614557,15.6511335,convenience,shop=convenience
node/8258569233,U Phuci,49.3619859,16.3541961,convenience,shop=convenience
node/7039099273,Coop Konzum,49.3637579,13.7027059,convenience,shop=convenience
node/1263158480,Coop Konzum,49.3691588,12.8591599,convenience,shop=convenience
node/5754730291,COOP Jednota,49.3705395,18.3551066,convenience,shop=convenience
node/13344728619,Coop Jednota,49.3719013,17.290837,convenience,shop=convenience
way/61412963,Fresh Corner,49.3758802,14.6941085,convenience,shop=convenience
way/51316262,Coop Tuty,49.3777724,14.706556,convenience,shop=convenience
node/1224290896,COOP,49.3784126,14.4937423,convenience,shop=convenience
node/2762983284,COOP Jednota,49.3784175,17.5891969,convenience,shop=convenience
node/2915911856,COOP Jednota,49.3794725,17.5652151,convenience,shop=convenience
node/4677482873,COOP Jednota,49.3823605,16.7619529,convenience,shop=convenience
node/4449603019,COOP Jednota,49.3848288,17.1815213,convenience,shop=convenience
way/338151180,Jednota,49.3891153,16.4850271,convenience,shop=convenience
node/1467991826,Žabka,49.3954538,15.5894565,convenience,shop=convenience
node/9877558591,Coop,49.3975099,13.2940469,convenience,shop=convenience
node/3197918332,Žabka,49.3983021,15.5889882,convenience,shop=convenience
node/6688152976,COOP Jednota,49.4022721,13.9483143,convenience,shop=convenience
node/12051630104,Coop,49.4032125,18.0499685,convenience,shop=convenience
node/3890887039,COOP Jednota,49.4041237,16.4136492,convenience,shop=convenience
node/7089742378,Smíšené zboží Arana,49.4049024,16.4100243,convenience,shop=convenience
way/52060562,Coop Tuty,49.4050519,14.7013634,convenience,shop=convenience
node/13464469356,Coop,49.4085301,14.6787942,convenience,shop=convenience
node/5606245571,Coop,49.4088476,15.433998,convenience,shop=convenience
way/160936479,COOP Jednota,49.4132797,17.926107,convenience,shop=convenience
way/127024360,COOP Jednota,49.4140101,17.9878142,convenience,shop=convenience
node/13531463435,Coop,49.4140478,18.1095914,convenience,shop=convenience
node/5710684606,Potraviny Majerová,49.4147062,18.1093985,convenience,shop=convenience
way/148761347,Jednota COOP,49.4155909,17.1401817,convenience,shop=convenience
node/3766855305,COOP Jednota,49.418668,17.9601948,convenience,shop=convenience
node/5750017907,COOP Jednota,49.4237441,16.351813,convenience,shop=convenience
node/4609577543,Coop,49.4271184,16.0645417,convenience,shop=convenience
node/4298986755,COOP Jednota,49.4278056,14.4186157,convenience,shop=convenience
node/429909656,COOP Jednota,49.4322819,18.2863719,convenience,shop=convenience
way/255944573,Hruška,49.4351212,18.2547856,convenience,shop=convenience
